index,name,count,ICD-10 Chapter,ICD-10 Chapter (short),color,emb_0,emb_1,emb_2,emb_3,emb_4,emb_5,emb_6,emb_7,emb_8,emb_9,emb_10,emb_11,emb_12,emb_13,emb_14,emb_15,emb_16,emb_17,emb_18,emb_19,emb_20,emb_21,emb_22,emb_23,emb_24,emb_25,emb_26,emb_27,emb_28,emb_29,emb_30,emb_31,emb_32,emb_33,emb_34,emb_35,emb_36,emb_37,emb_38,emb_39,emb_40,emb_41,emb_42,emb_43,emb_44,emb_45,emb_46,emb_47,emb_48,emb_49,emb_50,emb_51,emb_52,emb_53,emb_54,emb_55,emb_56,emb_57,emb_58,emb_59,emb_60,emb_61,emb_62,emb_63,emb_64,emb_65,emb_66,emb_67,emb_68,emb_69,emb_70,emb_71,emb_72,emb_73,emb_74,emb_75,emb_76,emb_77,emb_78,emb_79,emb_80,emb_81,emb_82,emb_83,emb_84,emb_85,emb_86,emb_87,emb_88,emb_89,emb_90,emb_91,emb_92,emb_93,emb_94,emb_95,emb_96,emb_97,emb_98,emb_99,emb_100,emb_101,emb_102,emb_103,emb_104,emb_105,emb_106,emb_107,emb_108,emb_109,emb_110,emb_111,emb_112,emb_113,emb_114,emb_115,emb_116,emb_117,emb_118,emb_119,icd3,umap_x,umap_y
0,Padding,,Technical,Technical,#2a52be,0.19855787,0.27878508,-0.18604688,-0.2545547,0.1327624,0.22916521,-0.1533679,-0.21878235,-0.19016252,-0.21177454,0.16514692,-0.15570511,0.33778834,0.12653404,0.21900216,0.134195,0.24743137,-0.3614497,0.14744943,0.16629842,0.14227915,-0.20455514,-0.15763459,0.15356436,0.12783872,0.15150622,0.2659527,-0.19809037,0.19442016,0.16487856,0.1351146,0.1526693,0.15932676,0.11735744,-0.141727,-0.2368395,0.17791685,-0.16037117,0.20343758,-0.22826304,0.1574091,0.19899379,-0.20206311,0.17847711,-0.16524665,0.21123818,-0.26833752,-0.15168251,-0.22869352,0.1802021,0.27004734,-0.110912435,-0.30505988,0.20859781,0.14678922,0.23993067,-0.12038747,-0.19422153,-0.21255118,-0.24418372,0.14033277,-0.19061522,0.1264816,0.18737814,0.28137693,-0.13223207,0.33913124,-0.27086303,0.2333903,-0.24180666,-0.2040649,-0.12445315,0.19635881,-0.28841805,-0.1679095,0.19496068,-0.1605776,-0.2400763,-0.1604174,-0.12357195,-0.1533333,-0.13736703,0.22278848,-0.17137896,0.1400111,0.23916844,-0.20905654,0.17243212,0.17318538,-0.19638142,-0.18585813,-0.1706294,-0.11209337,0.21409619,0.20967849,0.21274978,-0.27274516,-0.22266215,0.10362249,-0.18128102,-0.18802331,0.18576631,-0.2987646,-0.21337397,0.20194304,0.19105144,-0.2146414,0.14108473,-0.145039,0.40320203,0.2671016,0.26701438,-0.22120589,-0.22135715,0.20563045,0.18546788,-0.22229385,0.3175575,0.17550126,0.21960896,Pad,1.8495744,2.9263878
1,No event,,Technical,Technical,#2a52be,0.061601095,0.094261706,-0.05458715,-0.083101384,0.02321257,0.04993843,-0.01739412,-0.101177245,-0.03655767,-0.048131563,0.057718232,-0.028603205,0.08271839,0.007128708,0.07963265,0.059618134,0.067182414,-0.11255076,0.0062701553,0.07447079,0.026312806,-0.055836204,0.10234428,0.047712155,0.048540916,-0.01924494,0.08200219,-0.056867175,0.060534865,0.02219273,0.027436618,0.039410304,0.042774003,0.03088259,-0.07742125,-0.047140747,0.06532142,-0.010340399,0.076838456,-0.04099789,0.03332026,0.04542188,-0.099007085,0.050592814,-0.043439634,0.089001276,-0.084716074,-0.059342913,-0.07006092,0.04352051,0.08575558,0.0011010207,-0.09707642,0.034780283,0.05050857,0.095689185,-0.04098108,-0.06336252,-0.030633954,-0.082064755,0.06032871,-0.06508889,0.029531589,0.05702662,0.08571793,-0.024389124,0.09201036,-0.091270246,0.08021263,-0.07961958,-0.08213686,-0.07242776,0.030552221,-0.094473615,-9.932804e-05,0.040564626,-0.03627214,-0.08087033,-0.027914824,-0.03830827,-0.035420842,-0.01943718,0.050136063,-0.05915193,0.043750178,0.09315122,-0.07334887,0.054744724,0.024498362,-0.04707793,-0.07732376,-0.04751088,-0.013052689,0.07311817,0.062975705,0.072276674,-0.09765782,-0.07143678,0.017534021,-0.09870449,-0.060048096,0.040909912,-0.11079187,-0.036657624,0.077502035,0.015160297,-0.04826168,0.034159306,-0.028053647,0.06464088,0.05267022,0.10517016,-0.024288066,-0.09149959,0.0315783,0.06810411,-0.0725817,0.1045933,0.07190385,0.050266445,No ,2.0827985,2.4285903
2,Female,218608.0,Sex,Sex,#bcbd22,-0.07455315,0.291032,-0.033334713,-0.3793149,0.2084327,0.2820057,-0.13396592,-0.24825984,-0.10612824,-0.08152274,0.14514835,0.072601356,0.3047542,0.15799524,0.45223448,0.2985682,0.2485119,-0.25369555,0.026172133,0.13308683,0.008697313,-0.18854173,-0.105588675,0.096378125,0.116330266,0.0032044984,0.35796136,-0.26071462,0.33474097,-0.029200375,0.111073956,0.05017121,0.14595358,0.03846965,-0.081702024,-0.12560911,0.3097686,-0.18498667,-0.045976225,-0.27646703,0.049376052,0.24733037,-0.35538954,0.29009423,0.07901809,0.39051962,-0.29758042,-0.28638566,-0.056352858,0.27643746,0.33175182,-0.15528743,-0.10459497,-0.009355549,0.13058409,0.04385702,0.3101458,-0.13078938,-0.14176923,-0.33581614,0.255462,-0.28818324,0.025030188,0.26240143,0.036897536,0.026106142,0.09002714,-0.10932984,-0.06911619,-0.3490219,-0.042989872,-0.25253224,0.13129775,-0.16119522,-0.1752019,-0.31073672,-0.23723093,-0.052220486,-0.14398482,0.05050107,-0.23113284,-0.13957466,0.024346959,-0.10219384,0.109558605,0.29576424,-0.1901983,0.1442575,0.14288221,-0.25123835,-0.24276337,-0.22281824,-0.15269727,0.29900151,0.1774557,0.31397673,-0.2809392,-0.4314361,-0.050977096,-0.22692749,-0.026198238,0.26534638,-0.16993438,-0.25997382,-0.043929342,0.094908714,-0.04737426,0.20749223,0.44603917,0.23316048,0.39988804,0.0057394216,-0.23042329,0.045144092,0.16520572,0.3736764,-0.3138107,0.20313168,0.06810512,0.40703708,Fem,0.999002,2.7102683
3,Male,183444.0,Sex,Sex,#bcbd22,0.36866358,0.13421088,0.15885241,-0.1617847,0.16670911,0.13679066,-0.1827764,-0.051015135,-0.20812243,-0.062450025,0.27207583,-0.45894325,0.058845654,0.26084256,0.022200448,0.15405695,0.1888242,-0.36418924,0.09357583,-0.08875009,0.2331481,-0.036558714,-0.13389096,0.0601799,-0.09809816,0.10808199,-0.053480737,-0.15241915,0.17355697,0.15308604,0.011923972,0.08012222,0.18691729,0.2643485,0.120599896,-0.34132302,0.17898206,-0.09758642,0.32538503,-0.2090766,0.21750015,0.117781386,0.069039226,0.101126954,-0.05799585,0.05141097,-0.3009428,0.40489972,-0.53814363,0.043542143,0.17940152,-0.04900704,-0.14607728,0.41921884,0.1382676,0.25071484,-0.18047199,-0.32474464,-0.256169,-0.17305034,0.16749099,-0.3434179,0.168039,0.11297164,-0.12661093,-0.30151471,-0.032540802,-0.40344346,0.31524047,-0.26011178,-0.2883661,-0.12608193,0.15456505,-0.51984715,-0.18176655,0.17079668,-0.12557136,-0.1812911,-0.2752579,0.17305005,-0.16365996,0.16132689,0.161733,-0.40199637,0.32909092,0.08726523,-0.40921372,0.255239,0.14331277,-0.17529237,-0.42141998,-0.17021559,-0.1572836,0.32765263,0.33438173,-0.019778373,-0.30795538,0.032029096,0.17157105,-0.07515693,-0.22656097,-0.026973708,-0.18550529,-0.055267833,0.34681392,0.12975703,-0.08787786,0.11374738,-0.19975804,0.23391049,0.11644539,0.27773958,0.0028935901,-0.29803926,0.21433641,0.30683064,-0.27924144,0.6750927,0.30152246,0.047342025,Mal,1.1650286,2.7291088
4,BMI low,37912.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.18577065,0.28897887,-0.13439281,-0.25448862,0.18324132,0.22565778,-0.13808773,-0.20340224,-0.184154,-0.20739926,0.1876515,-0.15400343,0.30680212,0.14057036,0.2205829,0.15406215,0.24891318,-0.30113667,0.15707041,0.23154949,0.15496187,-0.16094787,-0.12643763,0.1432181,0.13063724,0.11216785,0.29513517,-0.16825654,0.16115071,0.16689482,0.15520427,0.20179832,0.16960542,0.1405031,-0.18106775,-0.24594983,0.17547685,-0.16459034,0.16692902,-0.19932717,0.13800278,0.23054203,-0.19111422,0.16509035,-0.1367944,0.24446882,-0.28986493,-0.16090357,-0.2217222,0.1417998,0.2521383,-0.12805456,-0.29421183,0.22878867,0.1771863,0.24827619,-0.13735482,-0.2091139,-0.23491834,-0.19979338,0.14623952,-0.23414543,0.16209368,0.20202012,0.29977927,-0.14634858,0.3435066,-0.2947499,0.2354158,-0.22714539,-0.26017514,-0.15160495,0.18548459,-0.2722343,-0.14508694,0.17265648,-0.14492615,-0.23791477,-0.16317506,-0.16419128,-0.15925674,-0.13012019,0.23171349,-0.21754642,0.15909004,0.26351774,-0.24784933,0.19236231,0.20339736,-0.15612872,-0.18662126,-0.18212101,-0.13026147,0.21327868,0.22220814,0.2000587,-0.30364797,-0.17482248,0.12231212,-0.22331838,-0.17975271,0.17666428,-0.29043406,-0.21990588,0.21682943,0.13972986,-0.1974881,0.14900623,-0.16212893,0.4062171,0.23249723,0.26319766,-0.17997941,-0.24798912,0.15405095,0.2145859,-0.22719623,0.29217774,0.17567295,0.15754285,BMI,1.1760716,2.6505075
5,BMI mid,206718.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.15315418,0.30944297,-0.12919031,-0.25705475,0.1276584,0.24794503,-0.1349979,-0.18811566,-0.18954787,-0.26973292,0.15923679,-0.098148264,0.31044835,0.1689956,0.2303775,0.18308243,0.25877535,-0.323312,0.14784163,0.21466735,0.15792635,-0.19649932,-0.08702917,0.15645865,0.11766426,0.1092143,0.28642425,-0.18911643,0.22730097,0.16366243,0.11591743,0.15537724,0.18308786,0.10969164,-0.18023601,-0.2356563,0.18237291,-0.18321495,0.206169,-0.24479511,0.1956298,0.19461724,-0.22190246,0.15032305,-0.1666084,0.20188126,-0.24998192,-0.18548484,-0.24396323,0.20663442,0.2642769,-0.12777768,-0.29096723,0.20935589,0.18123353,0.26447055,-0.15614238,-0.18478562,-0.2194851,-0.21972995,0.16112874,-0.18023187,0.13256288,0.17037241,0.2786793,-0.09824785,0.2751638,-0.34304985,0.22693984,-0.24588862,-0.22250986,-0.13835825,0.18073133,-0.25556204,-0.16178834,0.19636351,-0.15015095,-0.17624469,-0.18245056,-0.13123105,-0.21911395,-0.14327808,0.24345285,-0.17419845,0.17694372,0.23571928,-0.23402287,0.141524,0.19850355,-0.19242492,-0.20001446,-0.19254628,-0.116255894,0.23024088,0.18129614,0.23170868,-0.30380774,-0.24211936,0.13360687,-0.18465944,-0.18169422,0.19270779,-0.28495488,-0.19539776,0.1710341,0.16402969,-0.20357327,0.17889188,-0.16228053,0.389445,0.23103628,0.26209122,-0.21432151,-0.2451936,0.19324027,0.19592369,-0.22158803,0.26698563,0.17940438,0.20099778,BMI,0.9777949,2.1963415
6,BMI high,154955.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.19376737,0.34126022,-0.14897834,-0.26185077,0.14933579,0.1963805,-0.14070055,-0.26938605,-0.1361551,-0.20057783,0.17922872,-0.12347675,0.3326109,0.19516774,0.2212025,0.11344814,0.23214985,-0.3820925,0.13345598,0.19081016,0.1475853,-0.1445417,-0.09068811,0.18947656,0.13450596,0.12266844,0.26876232,-0.18566424,0.20252764,0.15857652,0.14034289,0.15817465,0.16163713,0.13968697,-0.17308576,-0.21212256,0.1880118,-0.11845589,0.2179561,-0.2281527,0.18820001,0.18154326,-0.2540553,0.13808703,-0.14578892,0.17727414,-0.25548413,-0.14076734,-0.18039076,0.17682089,0.2421072,-0.08921219,-0.33903414,0.18154006,0.17318217,0.1803655,-0.12665278,-0.16760413,-0.17877129,-0.25950092,0.17014264,-0.1923635,0.115167424,0.18167017,0.25898674,-0.12263579,0.31369516,-0.2955292,0.23606478,-0.19089255,-0.24014191,-0.109189585,0.21438843,-0.28227437,-0.1652017,0.21248485,-0.15646629,-0.21725096,-0.1606734,-0.15527144,-0.18741466,-0.13422851,0.22666223,-0.18710543,0.1702479,0.2350454,-0.21297231,0.14960688,0.17988855,-0.178439,-0.17885879,-0.18584017,-0.1521363,0.20669082,0.18382107,0.23359273,-0.29600227,-0.17994426,0.07697941,-0.15230578,-0.15205531,0.18537857,-0.3348478,-0.20403779,0.22583458,0.119189836,-0.1862131,0.14516704,-0.13354662,0.41126287,0.2095195,0.245277,-0.2172549,-0.25252426,0.1917474,0.16768984,-0.2554396,0.28865084,0.19011426,0.222687,BMI,1.494662,3.5779839
7,Smoking low,358649.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.17395896,0.28944197,-0.12762621,-0.2618704,0.166978,0.26054063,-0.11479959,-0.2653472,-0.15164872,-0.22413439,0.16120927,-0.10920291,0.3096926,0.14461331,0.26939982,0.14537218,0.22280484,-0.31254432,0.09527155,0.15519942,0.18136586,-0.16095123,-0.05961769,0.12585057,0.16270883,0.13963467,0.29286793,-0.15831152,0.15984635,0.12265865,0.14289929,0.14917532,0.13900577,0.1522656,-0.21673788,-0.22040002,0.18185417,-0.15296735,0.1624552,-0.25655642,0.19164033,0.22167653,-0.25600466,0.16140892,-0.13833286,0.20789433,-0.28322113,-0.16506776,-0.23318675,0.18864968,0.25373554,-0.065460205,-0.29496422,0.17682394,0.15877557,0.2191487,-0.13861622,-0.19481787,-0.20026723,-0.25080752,0.16630585,-0.21627988,0.101264246,0.17483509,0.3008993,-0.09883451,0.29995584,-0.30604497,0.20827256,-0.2793071,-0.23203926,-0.13854592,0.19250329,-0.27118662,-0.14393064,0.16490611,-0.16500843,-0.19165902,-0.1714867,-0.13802429,-0.18218233,-0.16213678,0.23840326,-0.1301728,0.16134807,0.23979495,-0.2084576,0.16417803,0.16591866,-0.17277594,-0.18242915,-0.15263446,-0.12958497,0.1957971,0.23902531,0.2050512,-0.27452403,-0.18154971,0.09039539,-0.16319433,-0.12629572,0.19508334,-0.33467796,-0.20353371,0.21104857,0.18731235,-0.14788924,0.12101638,-0.11498898,0.4153935,0.21729137,0.2328855,-0.21479265,-0.25826743,0.19862089,0.1748359,-0.2098665,0.28007805,0.17214717,0.20550056,Smo,1.1035753,2.9684277
8,Smoking mid,11013.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.2185537,0.316296,-0.1462888,-0.27728057,0.14521241,0.22200459,-0.15032993,-0.23418519,-0.1890249,-0.21679497,0.18184903,-0.16523875,0.32169524,0.14787577,0.22190544,0.13004829,0.26750916,-0.34683686,0.17190032,0.17956963,0.16772492,-0.17314681,-0.13779199,0.19079301,0.08935177,0.11630995,0.2684317,-0.17904536,0.1992821,0.1454717,0.12820978,0.17747265,0.15976259,0.12835117,-0.19282287,-0.22154528,0.2022588,-0.1576303,0.20285195,-0.23204169,0.1107772,0.19188647,-0.22483623,0.16770789,-0.150412,0.20777963,-0.2215561,-0.1522778,-0.20240772,0.17987429,0.27510065,-0.13571434,-0.33074456,0.23760904,0.17535362,0.23046638,-0.16693777,-0.2056528,-0.22834115,-0.21493043,0.15879548,-0.22183065,0.099037744,0.19290723,0.27117017,-0.0968585,0.3168338,-0.2949051,0.23240206,-0.23104946,-0.21535866,-0.14410079,0.16573273,-0.26462635,-0.18020055,0.20329286,-0.15799873,-0.21830302,-0.14852571,-0.14926495,-0.18108582,-0.16742963,0.23247692,-0.17703645,0.1575028,0.2382869,-0.2712971,0.18625,0.18570355,-0.19732563,-0.19674195,-0.1537464,-0.13271739,0.18511723,0.1676415,0.24617033,-0.28335539,-0.23609263,0.13445449,-0.15490948,-0.18034981,0.16295503,-0.34700656,-0.1925409,0.23856185,0.13604979,-0.18740413,0.14195034,-0.12717035,0.39184287,0.2243817,0.24641599,-0.17529725,-0.251725,0.20336236,0.17691596,-0.225389,0.27724797,0.21024248,0.16450912,Smo,1.7706425,3.1117125
9,Smoking high,31346.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.20688197,0.35878804,-0.13654424,-0.2523384,0.17750937,0.20378059,-0.14392771,-0.16799547,-0.16885273,-0.24053203,0.1417436,-0.16479252,0.32964012,0.12964013,0.21928355,0.115275554,0.249713,-0.31723747,0.17847367,0.18282375,0.15568095,-0.1717572,-0.11648694,0.14741382,0.1005669,0.11503803,0.27624452,-0.17840448,0.2276105,0.14565775,0.10303035,0.14017563,0.19942641,0.15897854,-0.16326645,-0.19732165,0.1841712,-0.15286036,0.17179538,-0.2098187,0.14606166,0.18358779,-0.20244946,0.1701543,-0.110366754,0.2106913,-0.22459014,-0.18511201,-0.19157065,0.17494704,0.26556525,-0.092370525,-0.3166431,0.1961337,0.13051514,0.23973946,-0.13623098,-0.2119624,-0.19105937,-0.23169942,0.1726658,-0.21121798,0.15080489,0.19866078,0.27945665,-0.14278184,0.2853188,-0.30471498,0.2247664,-0.28874385,-0.294692,-0.13317148,0.1982497,-0.234796,-0.14249209,0.1632819,-0.18566841,-0.21993774,-0.14754178,-0.112607844,-0.17906746,-0.16346061,0.20844395,-0.17156166,0.17013307,0.25354815,-0.22245292,0.1498735,0.16766873,-0.18709153,-0.19547555,-0.16387618,-0.14169136,0.21733606,0.20561485,0.2040024,-0.29160228,-0.18392779,0.15117677,-0.17760907,-0.12638,0.18168725,-0.31067702,-0.22291796,0.24769238,0.089284725,-0.19117926,0.14956285,-0.10420396,0.3982434,0.24951598,0.25284836,-0.20556277,-0.25743458,0.22126444,0.18969038,-0.24284288,0.27386358,0.22634766,0.19198157,Smo,1.5644442,3.0208297
10,Alcohol low,123582.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.20315485,0.3422536,-0.16751279,-0.22382152,0.17151447,0.23986718,-0.16044357,-0.20193902,-0.16584927,-0.19713056,0.15888599,-0.17406419,0.3125518,0.16031025,0.1985256,0.16100383,0.23085804,-0.33489007,0.123687245,0.21200602,0.124798484,-0.20151475,-0.11471994,0.15183371,0.13984291,0.07617023,0.27876943,-0.20214361,0.19671282,0.109079,0.14168079,0.13997445,0.16825931,0.10781648,-0.14873119,-0.21129002,0.18210343,-0.14991398,0.17241837,-0.24488638,0.16386057,0.16753156,-0.25056237,0.16017246,-0.14298323,0.2310343,-0.2513025,-0.13274781,-0.17821544,0.15428802,0.25606743,-0.0910147,-0.30174077,0.19013134,0.12344247,0.26518384,-0.11205983,-0.20387755,-0.21425055,-0.22562733,0.15219365,-0.20644689,0.2035978,0.15101516,0.24748044,-0.1563442,0.31706396,-0.26830387,0.22304572,-0.19273476,-0.26284066,-0.12795757,0.23370412,-0.24932556,-0.15311618,0.1880681,-0.16419187,-0.19943808,-0.15630746,-0.10473529,-0.17304845,-0.14238034,0.24448498,-0.13727601,0.15052944,0.23160855,-0.24227546,0.15325236,0.15229008,-0.18579352,-0.14888403,-0.16778995,-0.122274585,0.19040342,0.21859452,0.23168255,-0.3182421,-0.19962324,0.1090262,-0.19776805,-0.1541255,0.15867767,-0.31950065,-0.21069002,0.21685888,0.14632784,-0.18211207,0.13082144,-0.13713036,0.43445358,0.27342585,0.27700248,-0.19769034,-0.26017317,0.16800988,0.16550836,-0.23402627,0.2678182,0.2098981,0.19342825,Alc,1.6618576,3.395
11,Alcohol mid,195659.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.16911106,0.31474495,-0.15004724,-0.2694675,0.16176307,0.24133672,-0.1496171,-0.20296742,-0.18305619,-0.20355543,0.16742076,-0.12281907,0.31956553,0.1629329,0.18298256,0.1771513,0.25808612,-0.33867687,0.12819669,0.19585867,0.14114244,-0.13225776,-0.08706352,0.17617881,0.10475755,0.12928103,0.29566032,-0.21320096,0.15279743,0.13892868,0.09877005,0.14861779,0.16367328,0.16062115,-0.17054674,-0.20132849,0.15029581,-0.1581554,0.2166386,-0.22925916,0.1734319,0.20862442,-0.23657998,0.14210628,-0.12386653,0.18080612,-0.2593004,-0.15064973,-0.21457434,0.14644411,0.2534771,-0.14093387,-0.34302095,0.23473196,0.14212449,0.20239685,-0.11790285,-0.17747502,-0.17681175,-0.25258526,0.1666372,-0.19590926,0.16459328,0.17675608,0.2734076,-0.14358222,0.32062098,-0.30649346,0.21576041,-0.20536643,-0.22556575,-0.13497561,0.21945693,-0.2755528,-0.1613119,0.20249759,-0.11901162,-0.21794392,-0.14620405,-0.14758515,-0.17509079,-0.12360694,0.18231948,-0.17294829,0.11918627,0.24732833,-0.18353786,0.14791153,0.18701045,-0.20394203,-0.22243725,-0.21588597,-0.14890628,0.18340096,0.16989397,0.22112569,-0.28951928,-0.1825849,0.07987524,-0.23652539,-0.17400084,0.16946876,-0.31143865,-0.16701032,0.19345056,0.1411752,-0.18089513,0.17332911,-0.11508009,0.4196296,0.27418822,0.22733483,-0.21103822,-0.26435,0.20435248,0.18890129,-0.21555538,0.26789054,0.18159768,0.20593582,Alc,1.7629329,3.6198754
12,Alcohol high,81611.0,"Smoking, Alcohol and BMI","Smoking, Alcohol and BMI",#9467bd,0.1722318,0.2915369,-0.12510084,-0.2711112,0.12491509,0.22286376,-0.13593072,-0.26741076,-0.13805431,-0.22390413,0.16874069,-0.11830651,0.3395527,0.15247586,0.24587375,0.19521779,0.25157052,-0.37156156,0.123665035,0.22047856,0.16276997,-0.15187407,-0.12280794,0.1740865,0.14306599,0.1304459,0.29132193,-0.22147395,0.20686027,0.119439475,0.15154001,0.17503195,0.15564813,0.09509261,-0.20315239,-0.22538002,0.13595259,-0.14538968,0.18138479,-0.2623756,0.1302779,0.18628937,-0.25619975,0.16416225,-0.13409661,0.23685834,-0.26014218,-0.14128117,-0.1908229,0.15192096,0.22319609,-0.101780765,-0.30343318,0.21838343,0.14380094,0.20425227,-0.14669771,-0.22074091,-0.21390697,-0.2309855,0.17379712,-0.19409962,0.16666807,0.17999142,0.2903988,-0.112875536,0.31937745,-0.2477278,0.21956517,-0.20848392,-0.21535261,-0.11287349,0.1970922,-0.29281357,-0.17247161,0.20348944,-0.15340576,-0.21780549,-0.14648347,-0.08357196,-0.16763878,-0.13838573,0.20930803,-0.16472,0.18653515,0.25320134,-0.19916971,0.17301083,0.18355858,-0.23181903,-0.17163329,-0.17632587,-0.08663632,0.20861478,0.20306689,0.21959138,-0.29017037,-0.17199484,0.11024579,-0.19413376,-0.13485874,0.18946531,-0.31368142,-0.20028152,0.16798024,0.16640423,-0.21304868,0.14385225,-0.15850824,0.4296823,0.25301296,0.26706964,-0.20645796,-0.2811864,0.16461767,0.18437755,-0.20488887,0.2644535,0.1794318,0.23002227,Alc,1.898704,2.7932353
13,A00 Cholera,22.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.23102765,0.28577662,-0.20179133,-0.2885977,0.15981546,0.28265232,-0.1577964,-0.2414033,-0.15128411,-0.21182163,0.18548466,-0.12014193,0.3335208,0.14457348,0.23728912,0.17115033,0.24898674,-0.3529056,0.11916738,0.22623642,0.17466506,-0.15805852,-0.1491182,0.17049237,0.16271062,0.09649631,0.30255613,-0.18943003,0.16456063,0.08900982,0.12284718,0.18359382,0.14292976,0.14739469,-0.17086862,-0.25593823,0.1892346,-0.16431658,0.22519699,-0.20790422,0.1712026,0.18122816,-0.21523935,0.18373205,-0.14662273,0.24608082,-0.24570185,-0.13618152,-0.20183428,0.16462809,0.24525152,-0.088577054,-0.29082194,0.20113993,0.13639954,0.25479916,-0.13827312,-0.19005919,-0.2143403,-0.2625475,0.13429087,-0.19384581,0.13542019,0.15466285,0.2644101,-0.13701352,0.3272729,-0.28588092,0.25240284,-0.24653837,-0.21274434,-0.12693946,0.17742965,-0.2896936,-0.13468952,0.22467358,-0.11192095,-0.23176384,-0.16525131,-0.12727837,-0.21792316,-0.16647929,0.22604066,-0.14849013,0.16846378,0.2192892,-0.19405667,0.14337413,0.16798314,-0.20702478,-0.18697323,-0.200974,-0.12003294,0.17306194,0.22898878,0.20289318,-0.2881956,-0.20066784,0.11249546,-0.22883518,-0.1500636,0.18476456,-0.29067355,-0.21184531,0.19759174,0.1732402,-0.19461676,0.15055504,-0.15238664,0.4278595,0.26530647,0.2355154,-0.1624656,-0.25055328,0.18229984,0.16459148,-0.2505382,0.26832515,0.21631664,0.17583868,A00,1.5360641,2.969533
14,A01 Typhoid and paratyphoid fevers,132.0,I. Certain infectious and parasitic diseases,I. Infectious Diseases,#98df8a,0.058014575,0.13238262,-0.047674447,-0.2722967,0.087295026,0.103458755,-0.056885842,-0.20362175,-0.24188277,-0.27911508,0.22916763,-0.39377287,0.15844624,-0.013802696,0.1506926,0.0798663,0.11853923,-0.25131848,0.029541021,0.1401158,0.118568346,-0.14534263,-0.014241256,0.017673979,0.03738748,-0.0013466494,0.23702654,-0.15783659,0.17749184,0.0020294357,0.06366429,0.22748181,0.20376012,0.056981012,-0.1330025,-0.15593505,0.11531079,-0.10645554,0.28828344,-0.091496594,0.090528265,0.122922756,-0.2747747,0.0685337,-0.06046295,0.1771048,-0.16866724,-0.13165498,-0.14572558,0.16646412,0.31627244,0.09567896,-0.21616548,0.07471533,0.08875955,0.23783593,-0.10546213,-0.1215013,-0.11490682,-0.25141197,0.13830413,-0.11159568,0.06871591,0.25382924,0.25585815,-0.059566285,0.23871166,-0.20607291,0.15332189,-0.20806739,-0.16144975,-0.110773735,0.22674172,-0.15338993,-0.03155301,0.054772362,-0.1352299,-0.15778594,-0.040232103,-0.1105394,-0.0652089,-0.030176,0.15135978,-0.1352408,0.1646642,0.16283175,-0.21373302,0.18205461,0.12358468,-0.19021398,-0.08816829,-0.15215817,-0.14760868,0.34005526,0.2349976,0.1473383,-0.19497065,-0.1496843,0.20720124,-0.1659331,-0.21136579,0.10464431,-0.20268947,-0.10339167,0.22455779,0.07230198,-0.068236396,-0.03170622,-0.098620445,0.26593924,0.1771407,0.24156041,-0.101271376,-0.17256255,0.16136299,0.25755748,-0.1542778,0.20046577,0.3604857,0.18409418,A01,2.2399309,2.1893816
